Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,29929.0
Arica y Parinacota,15,Camarones,15102,1233.0,70.0
Arica y Parinacota,15,General Lagos,15202,810.0,88.0
Arica y Parinacota,15,Putre,15201,2515.0,208.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,161.0
Tarapacá,1,Alto Hospicio,1107,129999.0,15866.0
Tarapacá,1,Camina,1402,1375.0,231.0
Tarapacá,1,Colchane,1403,1583.0,166.0
Tarapacá,1,Huara,1404,3000.0,463.0
Tarapacá,1,Iquique,1101,223463.0,29674.0
Tarapacá,1,Pica,1405,5958.0,1019.0
Tarapacá,1,Pozo Almonte,1401,17395.0,2361.0
Tarapacá,1,Desconocido Tarapaca,,,844.0
Antofagasta,2,Antofagasta,2101,425725.0,39954.0
Antofagasta,2,Calama,2201,190336.0,18611.0
Antofagasta,2,Maria Elena,2302,6814.0,705.0
Antofagasta,2,Mejillones,2102,14776.0,1965.0
Antofagasta,2,Ollague,2202,287.0,37.0
Antofagasta,2,San Pedro de Atacama,2203,10434.0,1169.0
Antofagasta,2,Sierra Gorda,2103,1746.0,168.0
Antofagasta,2,Taltal,2104,13657.0,940.0
Antofagasta,2,Tocopilla,2301,28079.0,2108.0
Antofagasta,2,Desconocido Antofagasta,,,674.0
Atacama,3,Alto del Carmen,3302,5729.0,266.0
Atacama,3,Caldera,3102,19426.0,1707.0
Atacama,3,Chanaral,3201,13164.0,1064.0
Atacama,3,Copiapo,3101,171766.0,16259.0
Atacama,3,Diego de Almagro,3202,14358.0,1325.0
Atacama,3,Freirina,3303,7681.0,682.0
Atacama,3,Huasco,3304,11264.0,853.0
Atacama,3,Tierra Amarilla,3103,14312.0,1494.0
Atacama,3,Vallenar,3301,57009.0,5134.0
Atacama,3,Desconocido Atacama,,,89.0
Coquimbo,4,Andacollo,4103,11791.0,616.0
Coquimbo,4,Canela,4202,9546.0,482.0
Coquimbo,4,Combarbala,4302,13884.0,792.0
Coquimbo,4,Coquimbo,4102,256735.0,16975.0
Coquimbo,4,Illapel,4201,32801.0,2369.0
Coquimbo,4,La Higuera,4104,4450.0,386.0
Coquimbo,4,La Serena,4101,249656.0,16946.0
Coquimbo,4,Los Vilos,4203,23374.0,1839.0
Coquimbo,4,Monte Patria,4303,32527.0,2020.0
Coquimbo,4,Ovalle,4301,121269.0,9500.0
Coquimbo,4,Paiguano,4105,4675.0,348.0
Coquimbo,4,Punitaqui,4304,12165.0,958.0
Coquimbo,4,Rio Hurtado,4305,4372.0,238.0
Coquimbo,4,Salamanca,4204,29110.0,1815.0
Coquimbo,4,Vicuna,4106,29741.0,2049.0
Coquimbo,4,Desconocido Coquimbo,,,257.0
Valparaíso,5,Algarrobo,5602,15174.0,1177.0
Valparaíso,5,Cabildo,5402,20663.0,1560.0
Valparaíso,5,Calera,5502,53591.0,5174.0
Valparaíso,5,Calle Larga,5302,16482.0,1326.0
Valparaíso,5,Cartagena,5603,25357.0,2404.0
Valparaíso,5,Casablanca,5102,29170.0,2355.0
Valparaíso,5,Catemu,5702,15213.0,1234.0
Valparaíso,5,Concon,5103,45889.0,3570.0
Valparaíso,5,El Quisco,5604,17742.0,1410.0
Valparaíso,5,El Tabo,5605,14338.0,1407.0
Valparaíso,5,Hijuelas,5503,19099.0,1414.0
Valparaíso,5,Isla de Pascua,5201,8277.0,9.0
Valparaíso,5,Juan Fernandez,5104,1033.0,1.0
Valparaíso,5,La Cruz,5504,25321.0,1963.0
Valparaíso,5,La Ligua,5401,37739.0,3243.0
Valparaíso,5,Limache,5802,49931.0,4243.0
Valparaíso,5,Llaillay,5703,26533.0,2326.0
Valparaíso,5,Los Andes,5301,68093.0,6013.0
Valparaíso,5,Nogales,5506,23490.0,1913.0
Valparaíso,5,Olmue,5803,19266.0,1502.0
Valparaíso,5,Panquehue,5704,7633.0,568.0
Valparaíso,5,Papudo,5403,6201.0,530.0
Valparaíso,5,Petorca,5404,10558.0,745.0
Valparaíso,5,Puchuncavi,5105,20071.0,1493.0
Valparaíso,5,Putaendo,5705,17645.0,1236.0
Valparaíso,5,Quillota,5501,97572.0,8381.0
Valparaíso,5,Quilpue,5801,167085.0,13339.0
Valparaíso,5,Quintero,5107,36135.0,2867.0
Valparaíso,5,Rinconada,5303,11263.0,794.0
Valparaíso,5,San Antonio,5601,96761.0,8748.0
Valparaíso,5,San Esteban,5304,20643.0,1418.0
Valparaíso,5,San Felipe,5701,83494.0,6891.0
Valparaíso,5,Santa Maria,5706,16367.0,1371.0
Valparaíso,5,Santo Domingo,5606,11934.0,924.0
Valparaíso,5,Valparaiso,5101,315732.0,33638.0
Valparaíso,5,Villa Alemana,5804,139310.0,11743.0
Valparaíso,5,Vina del Mar,5109,361371.0,32068.0
Valparaíso,5,Zapallar,5405,7994.0,596.0
Valparaíso,5,Desconocido Valparaiso,,,1210.0
Metropolitana,13,Alhue,13502,7405.0,796.0
Metropolitana,13,Buin,13402,109641.0,10913.0
Metropolitana,13,Calera de Tango,13403,28525.0,2463.0
Metropolitana,13,Cerrillos,13102,88956.0,8525.0
Metropolitana,13,Cerro Navia,13103,142465.0,18273.0
Metropolitana,13,Colina,13301,180353.0,15494.0
Metropolitana,13,Conchali,13104,139195.0,14769.0
Metropolitana,13,Curacavi,13503,36430.0,3887.0
Metropolitana,13,El Bosque,13105,172000.0,21729.0
Metropolitana,13,El Monte,13602,40014.0,4037.0
Metropolitana,13,Estacion Central,13106,206792.0,18503.0
Metropolitana,13,Huechuraba,13107,112528.0,10115.0
Metropolitana,13,Independencia,13108,142065.0,14749.0
Metropolitana,13,Isla de Maipo,13603,40171.0,4073.0
Metropolitana,13,La Cisterna,13109,100434.0,10379.0
Metropolitana,13,La Florida,13110,402433.0,43542.0
Metropolitana,13,La Granja,13111,122557.0,17121.0
Metropolitana,13,La Pintana,13112,189335.0,26510.0
Metropolitana,13,La Reina,13113,100252.0,7481.0
Metropolitana,13,Lampa,13302,126898.0,10808.0
Metropolitana,13,Las Condes,13114,330759.0,19750.0
Metropolitana,13,Lo Barnechea,13115,124076.0,9953.0
Metropolitana,13,Lo Espejo,13116,103865.0,11144.0
Metropolitana,13,Lo Prado,13117,104403.0,14224.0
Metropolitana,13,Macul,13118,134635.0,13987.0
Metropolitana,13,Maipu,13119,578605.0,47949.0
Metropolitana,13,Maria Pinto,13504,14926.0,1606.0
Metropolitana,13,Melipilla,13501,141612.0,12724.0
Metropolitana,13,Nunoa,13120,250192.0,17409.0
Metropolitana,13,Padre Hurtado,13604,74188.0,8249.0
Metropolitana,13,Paine,13404,82766.0,7724.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,13020.0
Metropolitana,13,Penaflor,13605,101058.0,9417.0
Metropolitana,13,Penalolen,13122,266798.0,32605.0
Metropolitana,13,Pirque,13202,30433.0,3424.0
Metropolitana,13,Providencia,13123,157749.0,10105.0
Metropolitana,13,Pudahuel,13124,253139.0,28741.0
Metropolitana,13,Puente Alto,13201,645909.0,74372.0
Metropolitana,13,Quilicura,13125,254694.0,22556.0
Metropolitana,13,Quinta Normal,13126,136368.0,16486.0
Metropolitana,13,Recoleta,13127,190075.0,19185.0
Metropolitana,13,Renca,13128,160847.0,24730.0
Metropolitana,13,San Bernardo,13401,334836.0,36145.0
