Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,21325.0
Arica y Parinacota,15,Camarones,15102,1233.0,55.0
Arica y Parinacota,15,General Lagos,15202,810.0,74.0
Arica y Parinacota,15,Putre,15201,2515.0,162.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,113.0
Tarapacá,01,Alto Hospicio,01107,129999.0,11797.0
Tarapacá,01,Camina,01402,1375.0,143.0
Tarapacá,01,Colchane,01403,1583.0,135.0
Tarapacá,01,Huara,01404,3000.0,385.0
Tarapacá,01,Iquique,01101,223463.0,23310.0
Tarapacá,01,Pica,01405,5958.0,827.0
Tarapacá,01,Pozo Almonte,01401,17395.0,1939.0
Tarapacá,01,Desconocido Tarapaca,,,891.0
Antofagasta,02,Antofagasta,02101,425725.0,32347.0
Antofagasta,02,Calama,02201,190336.0,13247.0
Antofagasta,02,Maria Elena,02302,6814.0,564.0
Antofagasta,02,Mejillones,02102,14776.0,1699.0
Antofagasta,02,Ollague,02202,287.0,32.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,774.0
Antofagasta,02,Sierra Gorda,02103,1746.0,131.0
Antofagasta,02,Taltal,02104,13657.0,698.0
Antofagasta,02,Tocopilla,02301,28079.0,1509.0
Antofagasta,02,Desconocido Antofagasta,,,558.0
Atacama,03,Alto del Carmen,03302,5729.0,171.0
Atacama,03,Caldera,03102,19426.0,1071.0
Atacama,03,Chanaral,03201,13164.0,600.0
Atacama,03,Copiapo,03101,171766.0,10144.0
Atacama,03,Diego de Almagro,03202,14358.0,827.0
Atacama,03,Freirina,03303,7681.0,457.0
Atacama,03,Huasco,03304,11264.0,584.0
Atacama,03,Tierra Amarilla,03103,14312.0,893.0
Atacama,03,Vallenar,03301,57009.0,3202.0
Atacama,03,Desconocido Atacama,,,76.0
Coquimbo,04,Andacollo,04103,11791.0,426.0
Coquimbo,04,Canela,04202,9546.0,321.0
Coquimbo,04,Combarbala,04302,13884.0,409.0
Coquimbo,04,Coquimbo,04102,256735.0,10896.0
Coquimbo,04,Illapel,04201,32801.0,1397.0
Coquimbo,04,La Higuera,04104,4450.0,241.0
Coquimbo,04,La Serena,04101,249656.0,10915.0
Coquimbo,04,Los Vilos,04203,23374.0,1154.0
Coquimbo,04,Monte Patria,04303,32527.0,1291.0
Coquimbo,04,Ovalle,04301,121269.0,6319.0
Coquimbo,04,Paiguano,04105,4675.0,182.0
Coquimbo,04,Punitaqui,04304,12165.0,563.0
Coquimbo,04,Rio Hurtado,04305,4372.0,127.0
Coquimbo,04,Salamanca,04204,29110.0,1016.0
Coquimbo,04,Vicuna,04106,29741.0,1080.0
Coquimbo,04,Desconocido Coquimbo,,,226.0
Valparaíso,05,Algarrobo,05602,15174.0,722.0
Valparaíso,05,Cabildo,05402,20663.0,1044.0
Valparaíso,05,Calera,05502,53591.0,3356.0
Valparaíso,05,Calle Larga,05302,16482.0,827.0
Valparaíso,05,Cartagena,05603,25357.0,1204.0
Valparaíso,05,Casablanca,05102,29170.0,1642.0
Valparaíso,05,Catemu,05702,15213.0,796.0
Valparaíso,05,Concon,05103,45889.0,2458.0
Valparaíso,05,El Quisco,05604,17742.0,709.0
