Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,31782.0
Arica y Parinacota,15,Camarones,15102,1233.0,74.0
Arica y Parinacota,15,General Lagos,15202,810.0,88.0
Arica y Parinacota,15,Putre,15201,2515.0,217.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,235.0
Tarapacá,1,Alto Hospicio,1107,129999.0,16821.0
Tarapacá,1,Camina,1402,1375.0,233.0
Tarapacá,1,Colchane,1403,1583.0,195.0
Tarapacá,1,Huara,1404,3000.0,496.0
Tarapacá,1,Iquique,1101,223463.0,32057.0
Tarapacá,1,Pica,1405,5958.0,1067.0
Tarapacá,1,Pozo Almonte,1401,17395.0,2505.0
Tarapacá,1,Desconocido Tarapaca,,,959.0
Antofagasta,2,Antofagasta,2101,425725.0,42947.0
Antofagasta,2,Calama,2201,190336.0,20002.0
Antofagasta,2,Maria Elena,2302,6814.0,748.0
Antofagasta,2,Mejillones,2102,14776.0,2061.0
Antofagasta,2,Ollague,2202,287.0,54.0
Antofagasta,2,San Pedro de Atacama,2203,10434.0,1236.0
Antofagasta,2,Sierra Gorda,2103,1746.0,194.0
Antofagasta,2,Taltal,2104,13657.0,1071.0
Antofagasta,2,Tocopilla,2301,28079.0,2619.0
Antofagasta,2,Desconocido Antofagasta,,,758.0
Atacama,3,Alto del Carmen,3302,5729.0,313.0
Atacama,3,Caldera,3102,19426.0,1932.0
Atacama,3,Chanaral,3201,13164.0,1172.0
Atacama,3,Copiapo,3101,171766.0,17675.0
Atacama,3,Diego de Almagro,3202,14358.0,1473.0
Atacama,3,Freirina,3303,7681.0,727.0
Atacama,3,Huasco,3304,11264.0,972.0
Atacama,3,Tierra Amarilla,3103,14312.0,1595.0
Atacama,3,Vallenar,3301,57009.0,5984.0
Atacama,3,Desconocido Atacama,,,117.0
Coquimbo,4,Andacollo,4103,11791.0,662.0
Coquimbo,4,Canela,4202,9546.0,535.0
Coquimbo,4,Combarbala,4302,13884.0,896.0
Coquimbo,4,Coquimbo,4102,256735.0,19503.0
Coquimbo,4,Illapel,4201,32801.0,2657.0
Coquimbo,4,La Higuera,4104,4450.0,418.0
Coquimbo,4,La Serena,4101,249656.0,18857.0
Coquimbo,4,Los Vilos,4203,23374.0,2244.0
Coquimbo,4,Monte Patria,4303,32527.0,2084.0
Coquimbo,4,Ovalle,4301,121269.0,9888.0
Coquimbo,4,Paiguano,4105,4675.0,399.0
Coquimbo,4,Punitaqui,4304,12165.0,1027.0
Coquimbo,4,Rio Hurtado,4305,4372.0,250.0
Coquimbo,4,Salamanca,4204,29110.0,2022.0
Coquimbo,4,Vicuna,4106,29741.0,2222.0
Coquimbo,4,Desconocido Coquimbo,,,265.0
Valparaíso,5,Algarrobo,5602,15174.0,1416.0
Valparaíso,5,Cabildo,5402,20663.0,1634.0
Valparaíso,5,Calera,5502,53591.0,5445.0
Valparaíso,5,Calle Larga,5302,16482.0,1415.0
Valparaíso,5,Cartagena,5603,25357.0,2889.0
Valparaíso,5,Casablanca,5102,29170.0,2483.0
Valparaíso,5,Catemu,5702,15213.0,1284.0
Valparaíso,5,Concon,5103,45889.0,3970.0
Valparaíso,5,El Quisco,5604,17742.0,1686.0
Valparaíso,5,El Tabo,5605,14338.0,1611.0
Valparaíso,5,Hijuelas,5503,19099.0,1530.0
Valparaíso,5,Isla de Pascua,5201,8277.0,10.0
Valparaíso,5,Juan Fernandez,5104,1033.0,1.0
Valparaíso,5,La Cruz,5504,25321.0,2054.0
Valparaíso,5,La Ligua,5401,37739.0,3653.0
Valparaíso,5,Limache,5802,49931.0,4541.0
Valparaíso,5,Llaillay,5703,26533.0,2493.0
Valparaíso,5,Los Andes,5301,68093.0,6366.0
Valparaíso,5,Nogales,5506,23490.0,1970.0
Valparaíso,5,Olmue,5803,19266.0,1637.0
Valparaíso,5,Panquehue,5704,7633.0,610.0
Valparaíso,5,Papudo,5403,6201.0,564.0
Valparaíso,5,Petorca,5404,10558.0,851.0
Valparaíso,5,Puchuncavi,5105,20071.0,1820.0
Valparaíso,5,Putaendo,5705,17645.0,1364.0
Valparaíso,5,Quillota,5501,97572.0,8939.0
Valparaíso,5,Quilpue,5801,167085.0,14505.0
Valparaíso,5,Quintero,5107,36135.0,3335.0
Valparaíso,5,Rinconada,5303,11263.0,825.0
Valparaíso,5,San Antonio,5601,96761.0,9998.0
Valparaíso,5,San Esteban,5304,20643.0,1519.0
Valparaíso,5,San Felipe,5701,83494.0,7255.0
Valparaíso,5,Santa Maria,5706,16367.0,1426.0
Valparaíso,5,Santo Domingo,5606,11934.0,1069.0
Valparaíso,5,Valparaiso,5101,315732.0,36150.0
Valparaíso,5,Villa Alemana,5804,139310.0,12643.0
Valparaíso,5,Vina del Mar,5109,361371.0,35184.0
Valparaíso,5,Zapallar,5405,7994.0,675.0
Valparaíso,5,Desconocido Valparaiso,,,1296.0
Metropolitana,13,Alhue,13502,7405.0,829.0
Metropolitana,13,Buin,13402,109641.0,11877.0
Metropolitana,13,Calera de Tango,13403,28525.0,2833.0
Metropolitana,13,Cerrillos,13102,88956.0,9240.0
Metropolitana,13,Cerro Navia,13103,142465.0,19696.0
Metropolitana,13,Colina,13301,180353.0,16759.0
Metropolitana,13,Conchali,13104,139195.0,15962.0
Metropolitana,13,Curacavi,13503,36430.0,4292.0
Metropolitana,13,El Bosque,13105,172000.0,23167.0
Metropolitana,13,El Monte,13602,40014.0,4385.0
Metropolitana,13,Estacion Central,13106,206792.0,20317.0
Metropolitana,13,Huechuraba,13107,112528.0,11112.0
Metropolitana,13,Independencia,13108,142065.0,15817.0
Metropolitana,13,Isla de Maipo,13603,40171.0,4392.0
Metropolitana,13,La Cisterna,13109,100434.0,11336.0
Metropolitana,13,La Florida,13110,402433.0,46502.0
Metropolitana,13,La Granja,13111,122557.0,18160.0
Metropolitana,13,La Pintana,13112,189335.0,27869.0
Metropolitana,13,La Reina,13113,100252.0,8200.0
Metropolitana,13,Lampa,13302,126898.0,11795.0
Metropolitana,13,Las Condes,13114,330759.0,22234.0
Metropolitana,13,Lo Barnechea,13115,124076.0,10892.0
Metropolitana,13,Lo Espejo,13116,103865.0,11906.0
Metropolitana,13,Lo Prado,13117,104403.0,15298.0
Metropolitana,13,Macul,13118,134635.0,15063.0
Metropolitana,13,Maipu,13119,578605.0,52917.0
Metropolitana,13,Maria Pinto,13504,14926.0,1799.0
Metropolitana,13,Melipilla,13501,141612.0,13626.0
Metropolitana,13,Nunoa,13120,250192.0,19408.0
Metropolitana,13,Padre Hurtado,13604,74188.0,9322.0
Metropolitana,13,Paine,13404,82766.0,8327.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,14019.0
Metropolitana,13,Penaflor,13605,101058.0,10317.0
Metropolitana,13,Penalolen,13122,266798.0,34657.0
