Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,12171.0
Arica y Parinacota,15,Camarones,15102,1233.0,29.0
Arica y Parinacota,15,General Lagos,15202,810.0,64.0
Arica y Parinacota,15,Putre,15201,2515.0,85.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,89.0
Tarapacá,1,Alto Hospicio,1107,129999.0,6614.0
Tarapacá,1,Camina,1402,1375.0,103.0
Tarapacá,1,Colchane,1403,1583.0,117.0
Tarapacá,1,Huara,1404,3000.0,242.0
Tarapacá,1,Iquique,1101,223463.0,12551.0
Tarapacá,1,Pica,1405,5958.0,546.0
Tarapacá,1,Pozo Almonte,1401,17395.0,1356.0
Tarapacá,1,Desconocido Tarapaca,,,837.0
Antofagasta,2,Antofagasta,2101,425725.0,17378.0
Antofagasta,2,Calama,2201,190336.0,8537.0
Antofagasta,2,Maria Elena,2302,6814.0,385.0
Antofagasta,2,Mejillones,2102,14776.0,971.0
Antofagasta,2,Ollague,2202,287.0,28.0
Antofagasta,2,San Pedro de Atacama,2203,10434.0,452.0
Antofagasta,2,Sierra Gorda,2103,1746.0,107.0
Antofagasta,2,Taltal,2104,13657.0,293.0
Antofagasta,2,Tocopilla,2301,28079.0,504.0
Antofagasta,2,Desconocido Antofagasta,,,394.0
Atacama,3,Alto del Carmen,3302,5729.0,48.0
Atacama,3,Caldera,3102,19426.0,432.0
Atacama,3,Chanaral,3201,13164.0,227.0
Atacama,3,Copiapo,3101,171766.0,5489.0
Atacama,3,Diego de Almagro,3202,14358.0,440.0
Atacama,3,Freirina,3303,7681.0,217.0
Atacama,3,Huasco,3304,11264.0,299.0
Atacama,3,Tierra Amarilla,3103,14312.0,491.0
Atacama,3,Vallenar,3301,57009.0,1743.0
Atacama,3,Desconocido Atacama,,,46.0
Coquimbo,4,Andacollo,4103,11791.0,208.0
Coquimbo,4,Canela,4202,9546.0,144.0
Coquimbo,4,Combarbala,4302,13884.0,170.0
Coquimbo,4,Coquimbo,4102,256735.0,5820.0
Coquimbo,4,Illapel,4201,32801.0,571.0
Coquimbo,4,La Higuera,4104,4450.0,121.0
Coquimbo,4,La Serena,4101,249656.0,4780.0
Coquimbo,4,Los Vilos,4203,23374.0,456.0
Coquimbo,4,Monte Patria,4303,32527.0,720.0
Coquimbo,4,Ovalle,4301,121269.0,3808.0
Coquimbo,4,Paiguano,4105,4675.0,50.0
Coquimbo,4,Punitaqui,4304,12165.0,318.0
Coquimbo,4,Rio Hurtado,4305,4372.0,64.0
Coquimbo,4,Salamanca,4204,29110.0,324.0
Coquimbo,4,Vicuna,4106,29741.0,388.0
Coquimbo,4,Desconocido Coquimbo,,,173.0
Valparaíso,5,Algarrobo,5602,15174.0,282.0
Valparaíso,5,Cabildo,5402,20663.0,631.0
Valparaíso,5,Calera,5502,53591.0,1733.0
Valparaíso,5,Calle Larga,5302,16482.0,481.0
Valparaíso,5,Cartagena,5603,25357.0,490.0
Valparaíso,5,Casablanca,5102,29170.0,892.0
Valparaíso,5,Catemu,5702,15213.0,402.0
Valparaíso,5,Concon,5103,45889.0,1272.0
Valparaíso,5,El Quisco,5604,17742.0,402.0
Valparaíso,5,El Tabo,5605,14338.0,385.0
Valparaíso,5,Hijuelas,5503,19099.0,453.0
Valparaíso,5,Isla de Pascua,5201,8277.0,10.0
Valparaíso,5,Juan Fernandez,5104,1033.0,1.0
Valparaíso,5,La Cruz,5504,25321.0,583.0
Valparaíso,5,La Ligua,5401,37739.0,1277.0
Valparaíso,5,Limache,5802,49931.0,1558.0
Valparaíso,5,Llaillay,5703,26533.0,750.0
Valparaíso,5,Los Andes,5301,68093.0,1744.0
Valparaíso,5,Nogales,5506,23490.0,625.0
Valparaíso,5,Olmue,5803,19266.0,430.0
Valparaíso,5,Panquehue,5704,7633.0,145.0
Valparaíso,5,Papudo,5403,6201.0,222.0
Valparaíso,5,Petorca,5404,10558.0,222.0
Valparaíso,5,Puchuncavi,5105,20071.0,327.0
Valparaíso,5,Putaendo,5705,17645.0,406.0
Valparaíso,5,Quillota,5501,97572.0,2993.0
Valparaíso,5,Quilpue,5801,167085.0,4652.0
Valparaíso,5,Quintero,5107,36135.0,889.0
Valparaíso,5,Rinconada,5303,11263.0,225.0
Valparaíso,5,San Antonio,5601,96761.0,2345.0
Valparaíso,5,San Esteban,5304,20643.0,438.0
Valparaíso,5,San Felipe,5701,83494.0,2266.0
Valparaíso,5,Santa Maria,5706,16367.0,421.0
Valparaíso,5,Santo Domingo,5606,11934.0,267.0
Valparaíso,5,Valparaiso,5101,315732.0,11426.0
Valparaíso,5,Villa Alemana,5804,139310.0,4159.0
Valparaíso,5,Vina del Mar,5109,361371.0,10637.0
Valparaíso,5,Zapallar,5405,7994.0,221.0
Valparaíso,5,Desconocido Valparaiso,,,525.0
Metropolitana,13,Alhue,13502,7405.0,417.0
Metropolitana,13,Buin,13402,109641.0,3811.0
